year,country,countryJP,amount,value
2016,Switzerland,スイス,45,720
2016,Italy,イタリア,874,9441
2016,Russia,ロシア,236,2439
2016,Canada,カナダ,3736,38188
2016,USA,アメリカ合衆国,58882,563007
2016,Mexico,メキシコ,385,3653
2016,new zealand,ニュージーランド,1003,7739
2016,Hong Kong,香港,35404,159764
2016,Vietnam,ベトナム,436,1887
2016,Thailand,タイ,2952,15078
2016,Singapore,シンガポール,6386,31819
2016,Philippines,フィリピン,475,2664
2016,Myanmar,ミャンマー,302,940
2016,Macau,マカオ,54,230
2016,UAE,アラブ首長国連邦,225,861
2016,Denmark,デンマーク,100,480
2016,British,英国,1106,5855
2016,Netherlands,オランダ,1179,7508
2016,Belgium,ベルギー,417,3277
2016,Germany,ドイツ,357,1757
2016,Italy,イタリア,217,1599
2016,Russia,ロシア,341,2252
2016,Canada,カナダ,775,5571
2016,USA,アメリカ合衆国,5471,33307
2016,Mexico,メキシコ,42,270
2016,Hong Kong,香港,10296,37894
2016,Vietnam,ベトナム,118,446
2016,Thailand,タイ,1341,5353
2016,Singapore,シンガポール,2110,8507
2016,Myanmar,ミャンマー,90,363
2016,Macau,マカオ,63,252
2016,UAE,アラブ首長国連邦,102,245
2016,British,英国,186,809
2016,Netherlands,オランダ,257,1481
2016,Belgium,ベルギー,307,1252
2016,Germany,ドイツ,88,558
2016,Italy,イタリア,60,308
2016,Russia,ロシア,48,310
2016,USA,アメリカ合衆国,996,5113
2016,Hong Kong,香港,4834,21479
2016,Vietnam,ベトナム,429,1609
2016,Thailand,タイ,986,10380
2016,Singapore,シンガポール,2531,20430
2016,Philippines,フィリピン,478,4693
2016,Myanmar,ミャンマー,80,216
2016,Macau,マカオ,150,2546
2016,UAE,アラブ首長国連邦,1003,7916
2016,Denmark,デンマーク,285,2722
2016,British,英国,242,2044
2016,Netherlands,オランダ,1270,12230
2016,Germany,ドイツ,246,2151
2016,Switzerland,スイス,233,1693
2016,Italy,イタリア,76,657
2016,Russia,ロシア,36,294
2016,Canada,カナダ,471,4583
2016,USA,アメリカ合衆国,2800,22885
2016,Mexico,メキシコ,208,1941
2016,Mongolia,モンゴル,14060,106561
2016,Hong Kong,香港,225625,1453315
2016,Vietnam,ベトナム,25540,176516
2016,Thailand,タイ,63140,391309
2016,Singapore,シンガポール,32172,111911
2016,Philippines,フィリピン,1134,10653
2016,Indonesia,インドネシア,2305,13614
2016,Cambodia,カンボジア,326276,2345287
2016,Laos,ラオス,18194,144015
2016,Myanmar,ミャンマー,960,5944
2016,Macau,マカオ,42603,336837
2016,Qatar,カタール,547,6347
2016,UAE,アラブ首長国連邦,7911,70888
2016,Tajikistan,タジキスタン,19999,164191
2016,Germany,ドイツ,308,2178
2016,Russia,ロシア,378,1312
2016,USA,アメリカ合衆国,6196,46978
2016,Brazil,ブラジル,35,706
2016,new zealand,ニュージーランド,251,2448
2016,Guam (rice),グアム（米）,356,3091
2016,North Mariana Islands (USA),北マリアナ諸島（米）,262,2207
2016,Mongolia,モンゴル,302,2666
2016,Hong Kong,香港,56441,399831
2016,Vietnam,ベトナム,3511,31486
2016,Thailand,タイ,14468,116202
2016,Singapore,シンガポール,2615,18290
2016,Philippines,フィリピン,925,6618
2016,Indonesia,インドネシア,156,780
2016,Cambodia,カンボジア,71514,539995
2016,Laos,ラオス,7467,46670
2016,Macau,マカオ,2893,26826
2016,Qatar,カタール,125,1809
2016,UAE,アラブ首長国連邦,1189,14520
2016,Tajikistan,タジキスタン,3242,29963
2016,Germany,ドイツ,190,1618
2016,USA,アメリカ合衆国,959,7899
2016,Mexico,メキシコ,24,260
2016,new zealand,ニュージーランド,103,988
2016,Guam (rice),グアム（米）,491,5496
2016,North Mariana Islands (USA),北マリアナ諸島（米）,280,2659
2016,Hong Kong,香港,10667,46843
2016,Vietnam,ベトナム,394,1841
2016,Thailand,タイ,6661,28143
2016,Singapore,シンガポール,594,3112
2016,Philippines,フィリピン,204,1086
2016,Indonesia,インドネシア,245,1274
2016,Cambodia,カンボジア,9306,62813
2016,Macau,マカオ,320,3847
2016,Qatar,カタール,169,1523
2016,UAE,アラブ首長国連邦,3822,23005
2016,Tajikistan,タジキスタン,360,1549
2016,Germany,ドイツ,62,416
2016,Canada,カナダ,39,220
2016,USA,アメリカ合衆国,653,3075
2016,Hong Kong,香港,2879,14408
2016,Vietnam,ベトナム,430,2610
2016,Thailand,タイ,4327,19343
2016,Singapore,シンガポール,371,1072
2016,Philippines,フィリピン,274,1552
2016,Cambodia,カンボジア,3371,24398
2016,UAE,アラブ首長国連邦,2331,11321
2016,Tajikistan,タジキスタン,336,1849
2016,USA,アメリカ合衆国,130,658
2016,Hong Kong,香港,2558,17169
2016,Vietnam,ベトナム,127,1090
2016,Thailand,タイ,1707,10265
2016,Singapore,シンガポール,1307,4152
2016,Philippines,フィリピン,185,957
2016,Macau,マカオ,56,410
2016,Qatar,カタール,18,253
2016,UAE,アラブ首長国連邦,1526,9924
2016,Germany,ドイツ,83,633
2016,USA,アメリカ合衆国,210,1373
2016,Guam (rice),グアム（米）,207,2353
2017,Hong Kong,香港,716,2404
2017,Thailand,タイ,126,945
2017,UAE,アラブ首長国連邦,642,6741
2017,Taiwan,台湾,94121,857947
2017,Hong Kong,香港,182324,1417332
2017,Vietnam,ベトナム,946,7571
2017,Thailand,タイ,13997,116844
2017,Singapore,シンガポール,98229,815366
2017,Malaysia,マレーシア,3394,30878
2017,Philippines,フィリピン,5028,44360
2017,Indonesia,インドネシア,663,8239
2017,Laos,ラオス,8803,65027
2017,Macau,マカオ,11889,123549
2017,Barrane,バーレーン,52,1252
2017,UAE,アラブ首長国連邦,150,2886
2017,Denmark,デンマーク,1400,34766
2017,British,英国,33352,314316
2017,Netherlands,オランダ,37319,424863
2017,Belgium,ベルギー,14318,159983
2017,France,フランス,6044,60639
2017,Germany,ドイツ,9902,95540
2017,Switzerland,スイス,1763,23593
2017,Italy,イタリア,5208,56492
2017,Russia,ロシア,2307,23525
2017,Croatia,クロアチア,34,464
2017,Canada,カナダ,19968,205173
2017,USA,アメリカ合衆国,242181,2134586
2017,Mexico,メキシコ,4199,43108
2017,new zealand,ニュージーランド,4469,36321
2017,Taiwan,台湾,84974,458624
2017,Hong Kong,香港,141169,660082
2017,Vietnam,ベトナム,724,4673
2017,Thailand,タイ,14928,77102
2017,Singapore,シンガポール,49139,224123
2017,Malaysia,マレーシア,7553,41149
2017,Philippines,フィリピン,2554,13360
2017,Indonesia,インドネシア,289,1860
2017,Macau,マカオ,1088,6626
2017,Barrane,バーレーン,119,1642
2017,UAE,アラブ首長国連邦,113,1134
2017,British,英国,3784,23503
2017,Netherlands,オランダ,7920,49624
2017,Belgium,ベルギー,2388,13815
2017,France,フランス,86,560
2017,Germany,ドイツ,836,4697
2017,Switzerland,スイス,68,504
2017,Italy,イタリア,2284,16223
2017,Russia,ロシア,759,5126
2017,Croatia,クロアチア,107,852
2017,Canada,カナダ,2174,14344
2017,USA,アメリカ合衆国,32835,163280
2017,Mexico,メキシコ,747,4924
2017,new zealand,ニュージーランド,475,3233
2017,Taiwan,台湾,44470,227978
2017,Hong Kong,香港,44609,164918
2017,Vietnam,ベトナム,69,249
2017,Thailand,タイ,3711,14856
2017,Singapore,シンガポール,20795,72056
2017,Malaysia,マレーシア,4786,23322
2017,Philippines,フィリピン,886,2836
2017,Indonesia,インドネシア,124,765
2017,Macau,マカオ,969,3313
2017,Barrane,バーレーン,59,819
2017,UAE,アラブ首長国連邦,21,348
2017,British,英国,191,1079
2017,Netherlands,オランダ,1186,7108
2017,Belgium,ベルギー,947,4068
2017,Germany,ドイツ,171,804
2017,Italy,イタリア,438,2253
2017,Russia,ロシア,57,363
2017,Canada,カナダ,66,570
2017,USA,アメリカ合衆国,8327,37825
2017,Mexico,メキシコ,96,454
2017,new zealand,ニュージーランド,74,395
2017,Taiwan,台湾,112174,671459
2017,Hong Kong,香港,68532,311699
2017,Vietnam,ベトナム,110,446
2017,Thailand,タイ,3471,26542
2017,Singapore,シンガポール,10176,63606
2017,Malaysia,マレーシア,1552,10067
2017,Philippines,フィリピン,1108,12746
2017,Laos,ラオス,16303,111511
2017,Macau,マカオ,826,12348
2017,Barrane,バーレーン,48,666
2017,UAE,アラブ首長国連邦,53,594
2017,Denmark,デンマーク,1019,9729
2017,British,英国,2013,16725
2017,Netherlands,オランダ,2073,20029
2017,France,フランス,90,932
2017,Germany,ドイツ,3424,29265
2017,Switzerland,スイス,615,6549
2017,Italy,イタリア,600,4952
2017,Russia,ロシア,164,1561
2017,Croatia,クロアチア,78,729
2017,Canada,カナダ,3230,30706
2017,USA,アメリカ合衆国,44576,314626
2017,Mexico,メキシコ,293,2817
2017,UAE,アラブ首長国連邦,236,2478
2017,Taiwan,台湾,24955,197260
2017,Mongolia,モンゴル,1540,13583
2017,Hong Kong,香港,209784,1507802
2017,Vietnam,ベトナム,16124,145087
2017,Thailand,タイ,62717,495188
2017,Singapore,シンガポール,22909,138082
2017,Malaysia,マレーシア,692,3656
2017,Philippines,フィリピン,4117,33345
2017,Indonesia,インドネシア,1989,11641
2017,Cambodia,カンボジア,490900,3785882
2017,Laos,ラオス,19664,148495
2017,Myanmar,ミャンマー,515,2683
2017,Bangladesh,バングラデシュ,830,6383
2017,Macau,マカオ,41172,411180
2017,Qatar,カタール,1052,21315
2017,UAE,アラブ首長国連邦,3184,44589
2017,Tajikistan,タジキスタン,34949,292707
2017,Germany,ドイツ,756,6958
2017,USA,アメリカ合衆国,72621,582461
2017,Mexico,メキシコ,47,450
2017,Brazil,ブラジル,43,410
2017,new zealand,ニュージーランド,149,1426
2017,Guam (rice),グアム（米）,207,1890
2017,North Mariana Islands (USA),北マリアナ諸島（米）,732,6494
2017,Taiwan,台湾,8737,45665
2017,Hong Kong,香港,91928,412798
2017,Vietnam,ベトナム,8124,49805
2017,Thailand,タイ,24143,113113
2017,Singapore,シンガポール,26122,71556
2017,Malaysia,マレーシア,2022,10023
2017,Philippines,フィリピン,828,4614
2017,Indonesia,インドネシア,5006,23909
2017,Cambodia,カンボジア,60532,368203
2017,Myanmar,ミャンマー,215,615
2017,Macau,マカオ,1551,7185
2017,UAE,アラブ首長国連邦,1900,12070
2017,Tajikistan,タジキスタン,2470,13977
2017,USA,アメリカ合衆国,14625,66289
2017,Taiwan,台湾,3570,17865
2017,Hong Kong,香港,23726,101835
2017,Vietnam,ベトナム,4864,27464
2017,Thailand,タイ,24869,101852
2017,Singapore,シンガポール,12229,25328
2017,Malaysia,マレーシア,1146,5663
2017,Philippines,フィリピン,102,367
2017,Indonesia,インドネシア,737,3372
2017,Cambodia,カンボジア,15678,100177
2017,Macau,マカオ,4348,21941
2017,UAE,アラブ首長国連邦,854,3906
2017,Tajikistan,タジキスタン,4970,29551
2017,Germany,ドイツ,58,251
2017,USA,アメリカ合衆国,2905,13737
2017,North Mariana Islands (USA),北マリアナ諸島（米）,89,745
2017,Taiwan,台湾,991,5075
2017,Hong Kong,香港,7058,51930
2017,Vietnam,ベトナム,1622,11134
2017,Thailand,タイ,5975,30948
2017,Singapore,シンガポール,4209,14710
2017,Malaysia,マレーシア,544,2722
2017,Indonesia,インドネシア,144,1297
2017,Laos,ラオス,14982,104080
2017,Myanmar,ミャンマー,924,2888
2017,Bangladesh,バングラデシュ,265,2041
2017,Macau,マカオ,2241,19215
2017,Qatar,カタール,367,3554
2017,UAE,アラブ首長国連邦,577,4597
2017,USA,アメリカ合衆国,2934,10727
2017,Guam (rice),グアム（米）,106,964
2017,North Mariana Islands (USA),北マリアナ諸島（米）,29,233
2018,Hong Kong,香港,2901,9813
2018,Malaysia,マレーシア,36,244
2018,Taiwan,台湾,154052,1233907
2018,Hong Kong,香港,203851,1568331
2018,Vietnam,ベトナム,543,4453
2018,Thailand,タイ,19003,144357
2018,Singapore,シンガポール,117345,970393
2018,Malaysia,マレーシア,10180,84417
2018,Philippines,フィリピン,4878,48378
2018,Indonesia,インドネシア,2174,16848
2018,Myanmar,ミャンマー,355,3025
2018,Macau,マカオ,17173,165718
2018,UAE,アラブ首長国連邦,151,2547
2018,Denmark,デンマーク,1802,30077
2018,British,英国,49690,465898
2018,Netherlands,オランダ,43637,515614
2018,Belgium,ベルギー,16526,176204
2018,France,フランス,5350,50631
2018,Monaco,モナコ,235,3549
2018,Germany,ドイツ,13272,132630
2018,Switzerland,スイス,4467,53707
2018,Italy,イタリア,7904,82025
2018,Russia,ロシア,3627,43590
2018,Canada,カナダ,19188,182025
2018,USA,アメリカ合衆国,281963,2497760
2018,Mexico,メキシコ,9795,138008
2018,Argentina,アルゼンチン,83,834
2018,Australia,オーストラリア,7277,77088
2018,new zealand,ニュージーランド,4350,36065
2018,Taiwan,台湾,237856,1285795
2018,Hong Kong,香港,166824,799105
2018,Vietnam,ベトナム,2042,8282
2018,Thailand,タイ,20553,103787
2018,Singapore,シンガポール,63844,295637
2018,Malaysia,マレーシア,17267,95133
2018,Philippines,フィリピン,2252,13696
2018,Indonesia,インドネシア,2879,12603
2018,Myanmar,ミャンマー,214,822
2018,Macau,マカオ,648,3994
2018,UAE,アラブ首長国連邦,157,1294
2018,Denmark,デンマーク,443,2803
2018,British,英国,3909,24382
2018,Netherlands,オランダ,13304,85341
2018,Belgium,ベルギー,2189,12110
2018,France,フランス,678,3902
2018,Germany,ドイツ,1379,7565
2018,Switzerland,スイス,120,1207
2018,Italy,イタリア,2777,19848
2018,Russia,ロシア,676,4229
2018,Canada,カナダ,3134,20247
2018,USA,アメリカ合衆国,24809,122027
2018,Mexico,メキシコ,3558,27480
2018,Argentina,アルゼンチン,58,246
2018,Australia,オーストラリア,8250,48327
2018,new zealand,ニュージーランド,322,2076
2018,Taiwan,台湾,99880,516215
2018,Hong Kong,香港,61956,250393
2018,Vietnam,ベトナム,207,1577
2018,Thailand,タイ,9724,36807
2018,Singapore,シンガポール,29416,106062
2018,Malaysia,マレーシア,6887,34720
2018,Philippines,フィリピン,829,4078
2018,Indonesia,インドネシア,219,1468
2018,Myanmar,ミャンマー,379,1411
2018,Macau,マカオ,797,3932
2018,Denmark,デンマーク,1460,6457
2018,British,英国,1547,9019
2018,Netherlands,オランダ,2629,16363
2018,Belgium,ベルギー,756,3482
2018,France,フランス,56,204
2018,Germany,ドイツ,141,831
2018,Switzerland,スイス,61,246
2018,Italy,イタリア,1151,4885
2018,Russia,ロシア,417,2990
2018,Canada,カナダ,55,309
2018,USA,アメリカ合衆国,11628,37825
2018,Mexico,メキシコ,389,1811
2018,Australia,オーストラリア,2959,15904
2018,new zealand,ニュージーランド,97,537
2018,Taiwan,台湾,39883,275667
2018,Hong Kong,香港,20893,85307
2018,Vietnam,ベトナム,107,383
2018,Thailand,タイ,2733,14519
2018,Singapore,シンガポール,8310,43317
2018,Malaysia,マレーシア,1240,6610
2018,Philippines,フィリピン,425,4992
2018,Macau,マカオ,392,6695
2018,Denmark,デンマーク,1316,10490
2018,British,英国,410,3612
2018,Germany,ドイツ,1217,11079
2018,Switzerland,スイス,370,3654
2018,Italy,イタリア,1019,9032
2018,Canada,カナダ,4774,30157
2018,USA,アメリカ合衆国,14663,72063
2018,Australia,オーストラリア,35,224
2018,Taiwan,台湾,32884,257817
2018,Mongolia,モンゴル,408,3636
2018,Hong Kong,香港,145910,1059390
2018,Vietnam,ベトナム,28590,247513
2018,Thailand,タイ,72044,542590
2018,Singapore,シンガポール,19504,131166
2018,Malaysia,マレーシア,1660,13850
2018,Philippines,フィリピン,6706,52634
2018,Indonesia,インドネシア,2572,13631
2018,Cambodia,カンボジア,675168,5126715
2018,Laos,ラオス,38217,284400
2018,Sri Lanka,スリランカ,20,245
2018,Macau,マカオ,46392,472312
2018,Barrane,バーレーン,340,7907
2018,Qatar,カタール,1922,34305
2018,UAE,アラブ首長国連邦,5006,76670
2018,Tajikistan,タジキスタン,43220,345633
2018,France,フランス,52,362
2018,Germany,ドイツ,219,1967
2018,Russia,ロシア,218,2229
2018,Canada,カナダ,1764,17061
2018,USA,アメリカ合衆国,60318,518460
2018,Mexico,メキシコ,55,604
2018,Brazil,ブラジル,271,2764
2018,Australia,オーストラリア,22,233
2018,new zealand,ニュージーランド,156,1542
2018,Guam (rice),グアム（米）,454,4435
2018,North Mariana Islands (USA),北マリアナ諸島（米）,275,2383
2018,Taiwan,台湾,19228,97282
2018,Hong Kong,香港,116636,542486
2018,Vietnam,ベトナム,18766,110159
2018,Thailand,タイ,50813,245710
2018,Singapore,シンガポール,10620,42473
2018,Malaysia,マレーシア,1955,11987
2018,Philippines,フィリピン,1093,6196
2018,Indonesia,インドネシア,2116,8237
2018,Cambodia,カンボジア,157207,871305
2018,Laos,ラオス,1933,8647
2018,Myanmar,ミャンマー,152,688
2018,Macau,マカオ,2447,11533
2018,Qatar,カタール,169,1323
2018,UAE,アラブ首長国連邦,2257,17388
2018,Tajikistan,タジキスタン,4868,33421
2018,France,フランス,35,222
2018,Germany,ドイツ,114,688
2018,Russia,ロシア,265,1926
2018,USA,アメリカ合衆国,53241,118619
2018,Australia,オーストラリア,45,287
2018,new zealand,ニュージーランド,80,508
2018,Taiwan,台湾,5452,28931
2018,Hong Kong,香港,36252,166875
2018,Vietnam,ベトナム,9098,45701
2018,Thailand,タイ,58570,249800
2018,Singapore,シンガポール,4946,16909
2018,Malaysia,マレーシア,630,3452
2018,Philippines,フィリピン,167,797
2018,Indonesia,インドネシア,817,3796
2018,Cambodia,カンボジア,46471,292912
2018,Laos,ラオス,121,524
2018,Myanmar,ミャンマー,105,475
2018,Macau,マカオ,7936,41526
2018,UAE,アラブ首長国連邦,1494,8744
2018,Tajikistan,タジキスタン,3103,19139
2018,Germany,ドイツ,74,441
2018,Russia,ロシア,203,1483
2018,USA,アメリカ合衆国,1219,5982
2018,Australia,オーストラリア,156,557
2018,North Mariana Islands (USA),北マリアナ諸島（米）,156,1361
2018,Taiwan,台湾,2896,19122
2018,Hong Kong,香港,18062,51906
2018,Vietnam,ベトナム,1993,12013
2018,Thailand,タイ,7319,32913
2018,Singapore,シンガポール,4217,11669
2018,Malaysia,マレーシア,398,2270
2018,Indonesia,インドネシア,124,627
2018,Cambodia,カンボジア,1534,9730
2018,Laos,ラオス,42273,299209
2018,Myanmar,ミャンマー,425,1683
2018,Macau,マカオ,992,8833
2018,UAE,アラブ首長国連邦,559,6307
2018,Tajikistan,タジキスタン,172,1297
2018,USA,アメリカ合衆国,1607,6657
2018,Australia,オーストラリア,90,449
2018,Guam (rice),グアム（米）,237,2337
2019,Hong Kong,香港,326,1142
2019,Taiwan,台湾,127,500
2019,Thailand,タイ,139,1160
2019,Malaysia,マレーシア,19,282
2019,Belgium,ベルギー,39,352
2019,USA,アメリカ合衆国,237,1723
2019,Taiwan,台湾,164884,1259686
2019,Hong Kong,香港,208060,1562647
2019,Vietnam,ベトナム,3701,36821
2019,Thailand,タイ,15427,112937
2019,Singapore,シンガポール,128285,994998
2019,Malaysia,マレーシア,9428,81346
2019,Philippines,フィリピン,4087,39158
2019,Indonesia,インドネシア,1789,18070
2019,Macau,マカオ,15843,158479
2019,Qatar,カタール,58,564
2019,UAE,アラブ首長国連邦,244,5992
2019,Denmark,デンマーク,1436,16694
2019,British,英国,59487,566181
2019,Netherlands,オランダ,50627,602311
2019,Belgium,ベルギー,31880,308054
2019,France,フランス,5188,57059
2019,Monaco,モナコ,307,4625
2019,Germany,ドイツ,16664,161994
2019,Switzerland,スイス,3416,38322
2019,Spain,スペイン,100,1272
