year,country,_,_,_,_,_,_,amount,value
2012,香港,,KG,,,,,194142,925824
2012,タイ,,KG,,,,,7212,45767
2012,シンガポール,,KG,,,,,55127,337623
2012,マカオ,,KG,,,,,15023,123373
2012,カナダ,,KG,,,,,3174,25290
2012,アメリカ合衆国,,KG,,,,,43774,328201
2012,モンゴル,,KG,,,,,34,293
2012,香港,,KG,,,,,100583,533451
2012,タイ,,KG,,,,,7546,40131
2012,シンガポール,,KG,,,,,8347,42404
2012,フィリピン,,KG,,,,,53,316
2012,カンボジア,,KG,,,,,250663,1508910
2012,ラオス,,KG,,,,,158684,1088460
2012,バングラデシュ,,KG,,,,,22379,137911
2012,マカオ,,KG,,,,,75882,513988
2012,アラブ首長国連邦,,KG,,,,,469,3916
2012,タジキスタン,,KG,,,,,1957,14253
