year,country,_,_,_,_,_,_,amount,value
2018,香港,,KG,,,,,2901,9813
2018,マレーシア,,KG,,,,,36,244
2018,台湾,,KG,,,,,154052,1233907
2018,香港,,KG,,,,,203851,1568331
2018,ベトナム,,KG,,,,,543,4453
2018,タイ,,KG,,,,,19003,144357
2018,シンガポール,,KG,,,,,117345,970393
2018,マレーシア,,KG,,,,,10180,84417
2018,フィリピン,,KG,,,,,4878,48378
2018,インドネシア,,KG,,,,,2174,16848
2018,ミャンマー,,KG,,,,,355,3025
2018,マカオ,,KG,,,,,17173,165718
2018,アラブ首長国連邦,,KG,,,,,151,2547
2018,デンマーク,,KG,,,,,1802,30077
2018,英国,,KG,,,,,49690,465898
2018,オランダ,,KG,,,,,43637,515614
2018,ベルギー,,KG,,,,,16526,176204
2018,フランス,,KG,,,,,5350,50631
2018,モナコ,,KG,,,,,235,3549
2018,ドイツ,,KG,,,,,13272,132630
2018,スイス,,KG,,,,,4467,53707
2018,イタリア,,KG,,,,,7904,82025
2018,ロシア,,KG,,,,,3627,43590
2018,カナダ,,KG,,,,,19188,182025
2018,アメリカ合衆国,,KG,,,,,281963,2497760
2018,メキシコ,,KG,,,,,9795,138008
2018,アルゼンチン,,KG,,,,,83,834
2018,オーストラリア,,KG,,,,,7277,77088
2018,ニュージーランド,,KG,,,,,4350,36065
2018,台湾,,KG,,,,,237856,1285795
2018,香港,,KG,,,,,166824,799105
2018,ベトナム,,KG,,,,,2042,8282
2018,タイ,,KG,,,,,20553,103787
2018,シンガポール,,KG,,,,,63844,295637
2018,マレーシア,,KG,,,,,17267,95133
2018,フィリピン,,KG,,,,,2252,13696
2018,インドネシア,,KG,,,,,2879,12603
2018,ミャンマー,,KG,,,,,214,822
2018,マカオ,,KG,,,,,648,3994
2018,アラブ首長国連邦,,KG,,,,,157,1294
2018,デンマーク,,KG,,,,,443,2803
2018,英国,,KG,,,,,3909,24382
2018,オランダ,,KG,,,,,13304,85341
2018,ベルギー,,KG,,,,,2189,12110
2018,フランス,,KG,,,,,678,3902
2018,ドイツ,,KG,,,,,1379,7565
2018,スイス,,KG,,,,,120,1207
2018,イタリア,,KG,,,,,2777,19848
2018,ロシア,,KG,,,,,676,4229
2018,カナダ,,KG,,,,,3134,20247
2018,アメリカ合衆国,,KG,,,,,24809,122027
2018,メキシコ,,KG,,,,,3558,27480
2018,アルゼンチン,,KG,,,,,58,246
2018,オーストラリア,,KG,,,,,8250,48327
2018,ニュージーランド,,KG,,,,,322,2076
2018,台湾,,KG,,,,,99880,516215
2018,香港,,KG,,,,,61956,250393
2018,ベトナム,,KG,,,,,207,1577
2018,タイ,,KG,,,,,9724,36807
2018,シンガポール,,KG,,,,,29416,106062
2018,マレーシア,,KG,,,,,6887,34720
2018,フィリピン,,KG,,,,,829,4078
2018,インドネシア,,KG,,,,,219,1468
2018,ミャンマー,,KG,,,,,379,1411
2018,マカオ,,KG,,,,,797,3932
2018,デンマーク,,KG,,,,,1460,6457
2018,英国,,KG,,,,,1547,9019
2018,オランダ,,KG,,,,,2629,16363
2018,ベルギー,,KG,,,,,756,3482
2018,フランス,,KG,,,,,56,204
2018,ドイツ,,KG,,,,,141,831
2018,スイス,,KG,,,,,61,246
2018,イタリア,,KG,,,,,1151,4885
2018,ロシア,,KG,,,,,417,2990
2018,カナダ,,KG,,,,,55,309
2018,アメリカ合衆国,,KG,,,,,11628,37825
2018,メキシコ,,KG,,,,,389,1811
2018,オーストラリア,,KG,,,,,2959,15904
2018,ニュージーランド,,KG,,,,,97,537
2018,台湾,,KG,,,,,39883,275667
2018,香港,,KG,,,,,20893,85307
2018,ベトナム,,KG,,,,,107,383
2018,タイ,,KG,,,,,2733,14519
2018,シンガポール,,KG,,,,,8310,43317
2018,マレーシア,,KG,,,,,1240,6610
2018,フィリピン,,KG,,,,,425,4992
2018,マカオ,,KG,,,,,392,6695
2018,デンマーク,,KG,,,,,1316,10490
2018,英国,,KG,,,,,410,3612
2018,ドイツ,,KG,,,,,1217,11079
2018,スイス,,KG,,,,,370,3654
2018,イタリア,,KG,,,,,1019,9032
2018,カナダ,,KG,,,,,4774,30157
2018,アメリカ合衆国,,KG,,,,,14663,72063
2018,オーストラリア,,KG,,,,,35,224
2018,台湾,,KG,,,,,32884,257817
2018,モンゴル,,KG,,,,,408,3636
2018,香港,,KG,,,,,145910,1059390
2018,ベトナム,,KG,,,,,28590,247513
2018,タイ,,KG,,,,,72044,542590
2018,シンガポール,,KG,,,,,19504,131166
2018,マレーシア,,KG,,,,,1660,13850
2018,フィリピン,,KG,,,,,6706,52634
2018,インドネシア,,KG,,,,,2572,13631
2018,カンボジア,,KG,,,,,675168,5126715
2018,ラオス,,KG,,,,,38217,284400
2018,スリランカ,,KG,,,,,20,245
2018,マカオ,,KG,,,,,46392,472312
2018,バーレーン,,KG,,,,,340,7907
2018,カタール,,KG,,,,,1922,34305
2018,アラブ首長国連邦,,KG,,,,,5006,76670
2018,タジキスタン,,KG,,,,,43220,345633
2018,フランス,,KG,,,,,52,362
2018,ドイツ,,KG,,,,,219,1967
