year,country,_,_,_,_,_,_,amount,value
2019,マカオ,,KG,,,,,46649,438964
2019,バーレーン,,KG,,,,,197,7043
2019,カタール,,KG,,,,,1555,20886
2019,オマーン,,KG,,,,,19,400
2019,アラブ首長国連邦,,KG,,,,,14030,190972
2019,アゼルバイジャン,,KG,,,,,118,595
2019,タジキスタン,,KG,,,,,40558,288429
2019,ドイツ,,KG,,,,,320,3884
2019,イタリア,,KG,,,,,41,430
2019,ロシア,,KG,,,,,723,7846
2019,カナダ,,KG,,,,,47,385
2019,アメリカ合衆国,,KG,,,,,14366,143598
2019,ブラジル,,KG,,,,,2851,23521
2019,ウルグアイ,,KG,,,,,24,278
2019,オーストラリア,,KG,,,,,45,481
2019,ニュージーランド,,KG,,,,,360,3424
2019,グアム（米）,,KG,,,,,978,9613
2019,北マリアナ諸島（米）,,KG,,,,,288,2589
2019,台湾,,KG,,,,,27329,131746
2019,モンゴル,,KG,,,,,73,447
2019,香港,,KG,,,,,149494,690795
2019,ベトナム,,KG,,,,,8367,37250
2019,タイ,,KG,,,,,54445,250488
2019,シンガポール,,KG,,,,,28246,123293
2019,マレーシア,,KG,,,,,4088,20082
2019,フィリピン,,KG,,,,,657,5286
2019,インドネシア,,KG,,,,,4464,16754
2019,カンボジア,,KG,,,,,135140,683353
2019,ラオス,,KG,,,,,72,385
2019,ミャンマー,,KG,,,,,759,3640
2019,マカオ,,KG,,,,,1202,6406
2019,バーレーン,,KG,,,,,45,1161
2019,カタール,,KG,,,,,207,1779
2019,オマーン,,KG,,,,,18,209
2019,アラブ首長国連邦,,KG,,,,,5906,33291
2019,タジキスタン,,KG,,,,,1707,7599
2019,ドイツ,,KG,,,,,49,367
2019,イタリア,,KG,,,,,31,201
2019,ロシア,,KG,,,,,95,709
2019,アメリカ合衆国,,KG,,,,,5441,26680
2019,ブラジル,,KG,,,,,41,249
2019,オーストラリア,,KG,,,,,414,2347
2019,ニュージーランド,,KG,,,,,40,271
2019,台湾,,KG,,,,,7251,34687
2019,香港,,KG,,,,,52321,235386
2019,ベトナム,,KG,,,,,5668,31938
2019,タイ,,KG,,,,,46403,200693
2019,シンガポール,,KG,,,,,9816,28926
2019,マレーシア,,KG,,,,,2306,10266
2019,フィリピン,,KG,,,,,114,734
2019,インドネシア,,KG,,,,,666,2715
2019,カンボジア,,KG,,,,,23007,121625
2019,ラオス,,KG,,,,,96,840
2019,ミャンマー,,KG,,,,,458,1629
2019,マカオ,,KG,,,,,8986,44817
2019,カタール,,KG,,,,,58,523
2019,アラブ首長国連邦,,KG,,,,,2278,9964
2019,タジキスタン,,KG,,,,,3487,15593
2019,ロシア,,KG,,,,,15,226
2019,アメリカ合衆国,,KG,,,,,413,1487
2019,オーストラリア,,KG,,,,,19426,9005
2019,台湾,,KG,,,,,2569,5633
2019,香港,,KG,,,,,7520,34781
2019,ベトナム,,KG,,,,,1787,13048
2019,タイ,,KG,,,,,5693,23133
2019,シンガポール,,KG,,,,,2166,8368
2019,マレーシア,,KG,,,,,344,1655
2019,フィリピン,,KG,,,,,16411,27177
2019,インドネシア,,KG,,,,,65,301
2019,カンボジア,,KG,,,,,75,459
2019,ラオス,,KG,,,,,22200,126702
2019,ミャンマー,,KG,,,,,26,379
2019,マカオ,,KG,,,,,283,2958
2019,アラブ首長国連邦,,KG,,,,,960,6875
2019,アメリカ合衆国,,KG,,,,,1650,17526
2019,ブラジル,,KG,,,,,341,2662
2019,オーストラリア,,KG,,,,,699,3178
2019,グアム（米）,,KG,,,,,259,2444
