year,country,_,_,_,_,_,_,amount,value
2019,香港,,KG,,,,,326,1142
2019,台湾,,KG,,,,,127,500
2019,タイ,,KG,,,,,139,1160
2019,マレーシア,,KG,,,,,19,282
2019,ベルギー,,KG,,,,,39,352
2019,アメリカ合衆国,,KG,,,,,237,1723
2019,台湾,,KG,,,,,164884,1259686
2019,香港,,KG,,,,,208060,1562647
2019,ベトナム,,KG,,,,,3701,36821
2019,タイ,,KG,,,,,15427,112937
2019,シンガポール,,KG,,,,,128285,994998
2019,マレーシア,,KG,,,,,9428,81346
2019,フィリピン,,KG,,,,,4087,39158
2019,インドネシア,,KG,,,,,1789,18070
2019,マカオ,,KG,,,,,15843,158479
2019,カタール,,KG,,,,,58,564
2019,アラブ首長国連邦,,KG,,,,,244,5992
2019,デンマーク,,KG,,,,,1436,16694
2019,英国,,KG,,,,,59487,566181
2019,オランダ,,KG,,,,,50627,602311
2019,ベルギー,,KG,,,,,31880,308054
2019,フランス,,KG,,,,,5188,57059
2019,モナコ,,KG,,,,,307,4625
2019,ドイツ,,KG,,,,,16664,161994
2019,スイス,,KG,,,,,3416,38322
2019,スペイン,,KG,,,,,100,1272
2019,イタリア,,KG,,,,,12592,139043
2019,ポーランド,,KG,,,,,84,944
2019,ロシア,,KG,,,,,3310,39607
2019,ギリシャ,,KG,,,,,212,2427
2019,カナダ,,KG,,,,,23914,237574
2019,アメリカ合衆国,,KG,,,,,302545,2632284
2019,メキシコ,,KG,,,,,9743,139389
2019,オーストラリア,,KG,,,,,12389,120276
2019,ニュージーランド,,KG,,,,,5046,40353
2019,台湾,,KG,,,,,253479,1244944
2019,香港,,KG,,,,,225675,1036126
2019,ベトナム,,KG,,,,,6048,33741
2019,タイ,,KG,,,,,19754,98156
2019,シンガポール,,KG,,,,,57406,242710
2019,マレーシア,,KG,,,,,21938,118541
2019,フィリピン,,KG,,,,,1813,10219
2019,インドネシア,,KG,,,,,2457,11986
2019,マカオ,,KG,,,,,1508,7951
2019,カタール,,KG,,,,,99,963
2019,アラブ首長国連邦,,KG,,,,,195,2060
2019,デンマーク,,KG,,,,,364,2390
2019,英国,,KG,,,,,3264,19633
2019,オランダ,,KG,,,,,7089,47789
2019,ベルギー,,KG,,,,,2784,14094
2019,フランス,,KG,,,,,926,5955
2019,ドイツ,,KG,,,,,723,3827
2019,スイス,,KG,,,,,40,228
2019,イタリア,,KG,,,,,3939,28464
2019,ロシア,,KG,,,,,716,4075
2019,ギリシャ,,KG,,,,,147,1672
2019,カナダ,,KG,,,,,1319,9890
2019,アメリカ合衆国,,KG,,,,,20941,105422
2019,メキシコ,,KG,,,,,3335,20452
2019,オーストラリア,,KG,,,,,15780,89142
2019,ニュージーランド,,KG,,,,,297,1889
2019,台湾,,KG,,,,,120662,549307
2019,香港,,KG,,,,,84678,334560
2019,ベトナム,,KG,,,,,51,238
2019,タイ,,KG,,,,,8286,34427
2019,シンガポール,,KG,,,,,30930,94097
2019,マレーシア,,KG,,,,,9570,48418
2019,フィリピン,,KG,,,,,370,2283
2019,インドネシア,,KG,,,,,316,1817
2019,マカオ,,KG,,,,,488,2077
2019,カタール,,KG,,,,,56,547
2019,デンマーク,,KG,,,,,166,725
2019,英国,,KG,,,,,1697,10879
2019,オランダ,,KG,,,,,3396,20327
2019,ベルギー,,KG,,,,,1073,5919
2019,フランス,,KG,,,,,207,786
2019,ドイツ,,KG,,,,,128,718
2019,スイス,,KG,,,,,37,237
2019,イタリア,,KG,,,,,1138,5624
2019,ロシア,,KG,,,,,291,2021
2019,ギリシャ,,KG,,,,,78,886
2019,カナダ,,KG,,,,,505,2169
2019,アメリカ合衆国,,KG,,,,,6875,32259
2019,メキシコ,,KG,,,,,301,1342
2019,オーストラリア,,KG,,,,,5606,29953
2019,台湾,,KG,,,,,16750,85824
2019,香港,,KG,,,,,8047,29081
2019,タイ,,KG,,,,,3671,15741
2019,シンガポール,,KG,,,,,2455,10544
2019,マレーシア,,KG,,,,,1418,6706
2019,フィリピン,,KG,,,,,134,649
2019,マカオ,,KG,,,,,31,574
2019,デンマーク,,KG,,,,,166,1691
2019,ベルギー,,KG,,,,,321,1008
2019,イタリア,,KG,,,,,694,6532
2019,ギリシャ,,KG,,,,,24,273
2019,カナダ,,KG,,,,,4206,23319
2019,アメリカ合衆国,,KG,,,,,3102,19367
2019,オーストラリア,,KG,,,,,139,884
2019,台湾,,KG,,,,,44834,333688
2019,モンゴル,,KG,,,,,283,2511
2019,香港,,KG,,,,,137480,984657
2019,ベトナム,,KG,,,,,28552,263552
2019,タイ,,KG,,,,,108332,856164
2019,シンガポール,,KG,,,,,24618,163637
2019,マレーシア,,KG,,,,,1758,13085
2019,フィリピン,,KG,,,,,18777,155901
2019,インドネシア,,KG,,,,,3757,20241
2019,カンボジア,,KG,,,,,895813,7071662
2019,ラオス,,KG,,,,,14380,97788
2019,ミャンマー,,KG,,,,,1551,9035
2019,スリランカ,,KG,,,,,25,250
