year,country,_,_,_,_,_,_,amount,value
2013,香港,,KG,,,,,206848,1084454
2013,タイ,,KG,,,,,18906,112785
2013,シンガポール,,KG,,,,,80810,520880
2013,ラオス,,KG,,,,,100,271
2013,マカオ,,KG,,,,,13499,129795
2013,オランダ,,KG,,,,,75,566
2013,ドイツ,,KG,,,,,97,1196
2013,スペイン,,KG,,,,,94,887
2013,カナダ,,KG,,,,,6782,57355
2013,アメリカ合衆国,,KG,,,,,116888,908666
2013,メキシコ,,KG,,,,,277,2143
2013,バングラデシュ,,KG,,,,,3104,18588
2013,アラブ首長国連邦,,KG,,,,,718,1758
2013,モンゴル,,KG,,,,,80036,534380
2013,香港,,KG,,,,,91501,535848
2013,タイ,,KG,,,,,20394,117921
2013,シンガポール,,KG,,,,,11481,65343
2013,フィリピン,,KG,,,,,56,424
2013,カンボジア,,KG,,,,,182457,1263943
2013,ラオス,,KG,,,,,20285,148740
2013,バングラデシュ,,KG,,,,,13988,81457
2013,マカオ,,KG,,,,,42619,292015
2013,クウェート,,KG,,,,,209,1049
2013,ヨルダン,,KG,,,,,6,312
2013,アラブ首長国連邦,,KG,,,,,624,4923
2013,タジキスタン,,KG,,,,,3657,28422
2013,ミクロネシア,,KG,,,,,147,684
