year,country,_,_,_,_,_,_,amount,value
2022,シンガポール,,KG,,,,,361,2921
2022,マレーシア,,KG,,,,,682,5500
2022,アメリカ合衆国,,KG,,,,,2787,20893
2022,台湾,,KG,,,,,340109,2553796
2022,香港,,KG,,,,,241542,1862576
2022,ベトナム,,KG,,,,,8857,106579
2022,タイ,,KG,,,,,10857,89952
2022,シンガポール,,KG,,,,,200826,1603580
2022,マレーシア,,KG,,,,,38007,323164
2022,フィリピン,,KG,,,,,5828,93305
2022,インドネシア,,KG,,,,,2718,27916
2022,カンボジア,,KG,,,,,157,2021
2022,マカオ,,KG,,,,,3713,38213
2022,サウジアラビア,,KG,,,,,138,2312
2022,カタール,,KG,,,,,43,406
2022,アラブ首長国連邦,,KG,,,,,567,16359
2022,デンマーク,,KG,,,,,2074,23072
2022,英国,,KG,,,,,93016,897659
2022,オランダ,,KG,,,,,131977,1442367
2022,ベルギー,,KG,,,,,76689,814365
2022,フランス,,KG,,,,,33863,362094
2022,ドイツ,,KG,,,,,48182,501613
2022,スイス,,KG,,,,,3664,42149
2022,スペイン,,KG,,,,,3144,32839
2022,イタリア,,KG,,,,,22434,230081
2022,マルタ,,KG,,,,,254,2745
2022,ポーランド,,KG,,,,,3959,39982
2022,ギリシャ,,KG,,,,,5665,58162
2022,ルーマニア,,KG,,,,,258,2929
2022,カナダ,,KG,,,,,68653,669663
2022,アメリカ合衆国,,KG,,,,,694965,6079914
2022,メキシコ,,KG,,,,,16829,153212
2022,オーストラリア,,KG,,,,,36194,376398
2022,ニュージーランド,,KG,,,,,465,4633
2022,台湾,,KG,,,,,563131,2931836
2022,香港,,KG,,,,,228663,1210599
2022,ベトナム,,KG,,,,,9172,60413
2022,タイ,,KG,,,,,23381,124419
2022,シンガポール,,KG,,,,,76767,367515
2022,マレーシア,,KG,,,,,81340,446616
2022,フィリピン,,KG,,,,,2246,21593
2022,インドネシア,,KG,,,,,4891,33585
2022,マカオ,,KG,,,,,2378,15896
2022,サウジアラビア,,KG,,,,,250,2142
2022,カタール,,KG,,,,,51,294
2022,アラブ首長国連邦,,KG,,,,,476,6318
2022,デンマーク,,KG,,,,,73,362
2022,英国,,KG,,,,,4428,26735
2022,オランダ,,KG,,,,,9878,74594
2022,ベルギー,,KG,,,,,28810,149852
2022,フランス,,KG,,,,,1133,5781
2022,ドイツ,,KG,,,,,3096,20270
2022,スイス,,KG,,,,,144,887
2022,スペイン,,KG,,,,,348,2308
2022,イタリア,,KG,,,,,7312,49584
