year,country,_,_,_,_,_,_,amount,value
2024,台湾,,KG,,,,,880,5296
2024,アメリカ合衆国,,KG,,,,,2285,20205
2024,台湾,,KG,,,,,325948,2249197
2024,香港,,KG,,,,,121443,999316
2024,ベトナム,,KG,,,,,7546,90241
2024,タイ,,KG,,,,,9931,85040
2024,シンガポール,,KG,,,,,145781,1201412
2024,マレーシア,,KG,,,,,27258,188292
2024,フィリピン,,KG,,,,,11765,106123
2024,インドネシア,,KG,,,,,3847,30952
2024,カンボジア,,KG,,,,,807,6770
2024,マカオ,,KG,,,,,2246,30016
2024,サウジアラビア,,KG,,,,,344,6320
2024,アラブ首長国連邦,,KG,,,,,656,9299
2024,カザフスタン,,KG,,,,,259,3738
2024,デンマーク,,KG,,,,,548,6476
2024,英国,,KG,,,,,67289,688437
2024,アイルランド,,KG,,,,,171,2162
2024,オランダ,,KG,,,,,114500,1204198
2024,ベルギー,,KG,,,,,48335,468817
2024,フランス,,KG,,,,,26325,257026
2024,ドイツ,,KG,,,,,55098,541417
2024,スイス,,KG,,,,,3565,44043
2024,ポルトガル,,KG,,,,,1214,11880
2024,スペイン,,KG,,,,,14059,143874
2024,イタリア,,KG,,,,,55197,520679
2024,マルタ,,KG,,,,,65,794
2024,ポーランド,,KG,,,,,3953,41567
2024,ロシア,,KG,,,,,5497,63282
2024,ハンガリー,,KG,,,,,1278,14020
2024,ギリシャ,,KG,,,,,7117,69604
2024,チェコ,,KG,,,,,130,1782
2024,カナダ,,KG,,,,,48735,446183
2024,アメリカ合衆国,,KG,,,,,445495,3985597
2024,メキシコ,,KG,,,,,7989,84247
2024,オーストラリア,,KG,,,,,24805,246176
2024,台湾,,KG,,,,,561346,2803235
2024,香港,,KG,,,,,123012,612808
2024,ベトナム,,KG,,,,,6997,42305
2024,タイ,,KG,,,,,15515,81638
2024,シンガポール,,KG,,,,,65680,301780
2024,マレーシア,,KG,,,,,73496,372224
2024,フィリピン,,KG,,,,,1478,6754
2024,インドネシア,,KG,,,,,9627,61959
2024,マカオ,,KG,,,,,687,3017
2024,ジョージア,,KG,,,,,59,762
2024,英国,,KG,,,,,7416,45607
2024,アイルランド,,KG,,,,,104,735
2024,オランダ,,KG,,,,,10890,78787
2024,ベルギー,,KG,,,,,2411,13406
2024,フランス,,KG,,,,,2658,11814
2024,ドイツ,,KG,,,,,18321,95822
2024,スイス,,KG,,,,,555,3133
2024,ポルトガル,,KG,,,,,101,782
2024,スペイン,,KG,,,,,4041,22764
2024,イタリア,,KG,,,,,17556,109372
2024,ポーランド,,KG,,,,,353,2236
2024,ロシア,,KG,,,,,1129,6928
2024,ハンガリー,,KG,,,,,786,4630
2024,ギリシャ,,KG,,,,,98,576
2024,チェコ,,KG,,,,,177,1923
2024,カナダ,,KG,,,,,10550,48021
2024,アメリカ合衆国,,KG,,,,,116983,547026
2024,メキシコ,,KG,,,,,3686,25181
2024,オーストラリア,,KG,,,,,17742,115370
2024,台湾,,KG,,,,,210423,1023295
2024,モンゴル,,KG,,,,,43,275
2024,香港,,KG,,,,,31787,152346
2024,ベトナム,,KG,,,,,1238,6857
2024,タイ,,KG,,,,,5855,22145
2024,シンガポール,,KG,,,,,39125,159133
2024,マレーシア,,KG,,,,,39804,190212
2024,フィリピン,,KG,,,,,3350,10368
2024,インドネシア,,KG,,,,,2709,14997
2024,マカオ,,KG,,,,,757,1830
2024,英国,,KG,,,,,4109,23869
2024,オランダ,,KG,,,,,3020,16915
2024,ベルギー,,KG,,,,,426,2339
2024,フランス,,KG,,,,,429,1958
2024,ドイツ,,KG,,,,,3430,23011
2024,スイス,,KG,,,,,330,1861
2024,スペイン,,KG,,,,,910,4110
2024,イタリア,,KG,,,,,1108,4133
2024,ポーランド,,KG,,,,,244,1084
2024,ロシア,,KG,,,,,122,764
2024,ギリシャ,,KG,,,,,159,911
2024,カナダ,,KG,,,,,1818,8486
2024,アメリカ合衆国,,KG,,,,,57146,253694
2024,メキシコ,,KG,,,,,270,1674
2024,オーストラリア,,KG,,,,,3538,21826
2024,台湾,,KG,,,,,16146,77632
2024,香港,,KG,,,,,6176,24380
2024,ベトナム,,KG,,,,,364,1783
2024,タイ,,KG,,,,,268,1612
2024,シンガポール,,KG,,,,,11748,34114
2024,マレーシア,,KG,,,,,8527,39869
2024,インドネシア,,KG,,,,,345,1619
2024,マカオ,,KG,,,,,42,344
2024,ジョージア,,KG,,,,,56,827
2024,英国,,KG,,,,,69,431
2024,スペイン,,KG,,,,,47,214
2024,イタリア,,KG,,,,,82,473
2024,ポーランド,,KG,,,,,75,384
2024,カナダ,,KG,,,,,251,1095
2024,アメリカ合衆国,,KG,,,,,4004,14760
2024,メキシコ,,KG,,,,,32,425
2024,カンボジア,,KG,,,,,350,2025
2024,アラブ首長国連邦,,KG,,,,,279,1355
2024,アメリカ合衆国,,KG,,,,,106,953
2024,台湾,,KG,,,,,62303,443516
2024,モンゴル,,KG,,,,,170,1871
2024,香港,,KG,,,,,151672,1131324
