year,country,_,_,_,_,_,_,amount,value
2014,香港,,KG,,,,,270627,1357970
2014,ベトナム,,KG,,,,,3578,18223
2014,タイ,,KG,,,,,35125,218064
2014,シンガポール,,KG,,,,,115643,702491
2014,フィリピン,,KG,,,,,5483,39157
2014,インドネシア,,KG,,,,,1211,5529
2014,マカオ,,KG,,,,,15175,149863
2014,アラブ首長国連邦,,KG,,,,,1264,11439
2014,デンマーク,,KG,,,,,95,890
2014,英国,,KG,,,,,17693,150086
2014,オランダ,,KG,,,,,19092,147245
2014,ベルギー,,KG,,,,,5550,51016
2014,フランス,,KG,,,,,1879,14518
2014,モナコ,,KG,,,,,11626,117842
2014,ドイツ,,KG,,,,,20416,195104
2014,スイス,,KG,,,,,1337,21020
2014,スペイン,,KG,,,,,1037,7915
2014,イタリア,,KG,,,,,176,1802
2014,ロシア,,KG,,,,,247,2005
2014,カナダ,,KG,,,,,9551,86256
2014,アメリカ合衆国,,KG,,,,,166042,1350614
2014,メキシコ,,KG,,,,,1537,11227
2014,ニュージーランド,,KG,,,,,2128,16275
2014,モンゴル,,KG,,,,,29208,198410
2014,香港,,KG,,,,,166890,963718
2014,ベトナム,,KG,,,,,13150,76299
2014,タイ,,KG,,,,,43110,232027
2014,シンガポール,,KG,,,,,22064,131854
2014,フィリピン,,KG,,,,,333,2084
2014,カンボジア,,KG,,,,,247634,1701856
2014,ラオス,,KG,,,,,10827,67762
2014,ミャンマー,,KG,,,,,293,1273
2014,バングラデシュ,,KG,,,,,4439,27363
2014,マカオ,,KG,,,,,41177,258578
2014,カタール,,KG,,,,,2240,9432
2014,アラブ首長国連邦,,KG,,,,,2854,17021
2014,タジキスタン,,KG,,,,,71420,501637
2014,アメリカ合衆国,,KG,,,,,722,2347
2014,ミクロネシア,,KG,,,,,203,978
