year,country,_,_,_,_,_,_,amount,value
2015,香港,,KG,,,,,351,1574
2015,香港,,KG,,,,,358009,2006313
2015,ベトナム,,KG,,,,,2246,16907
2015,タイ,,KG,,,,,33790,211293
2015,シンガポール,,KG,,,,,132682,913317
2015,フィリピン,,KG,,,,,11708,98989
2015,マカオ,,KG,,,,,9882,86465
2015,アラブ首長国連邦,,KG,,,,,954,4924
2015,デンマーク,,KG,,,,,389,3125
2015,英国,,KG,,,,,43469,383058
2015,オランダ,,KG,,,,,38888,375232
2015,ベルギー,,KG,,,,,10680,108537
2015,フランス,,KG,,,,,5134,38095
2015,ドイツ,,KG,,,,,20111,191392
2015,スイス,,KG,,,,,1334,17748
2015,イタリア,,KG,,,,,2233,21200
2015,ロシア,,KG,,,,,1999,16279
2015,カナダ,,KG,,,,,12587,117799
2015,アメリカ合衆国,,KG,,,,,207154,1770255
2015,メキシコ,,KG,,,,,606,5358
2015,ニュージーランド,,KG,,,,,3008,24719
2015,香港,,KG,,,,,114,601
2015,タイ,,KG,,,,,109,1034
2015,アラブ首長国連邦,,KG,,,,,332,2970
2015,モンゴル,,KG,,,,,24381,197079
2015,香港,,KG,,,,,145475,881358
2015,ベトナム,,KG,,,,,22341,159914
2015,タイ,,KG,,,,,86915,559051
2015,シンガポール,,KG,,,,,36158,163958
2015,フィリピン,,KG,,,,,1151,7873
2015,インドネシア,,KG,,,,,1085,9863
2015,カンボジア,,KG,,,,,206811,1525178
2015,ラオス,,KG,,,,,18374,90687
2015,ミャンマー,,KG,,,,,750,3689
2015,バングラデシュ,,KG,,,,,8310,56221
2015,マカオ,,KG,,,,,59172,455432
2015,カタール,,KG,,,,,649,11639
2015,アラブ首長国連邦,,KG,,,,,10159,75586
2015,タジキスタン,,KG,,,,,56858,380159
2015,ドイツ,,KG,,,,,90,754
2015,イタリア,,KG,,,,,49,590
2015,アメリカ合衆国,,KG,,,,,6423,30541
2015,ブラジル,,KG,,,,,31,395
2015,ミクロネシア,,KG,,,,,85,360
2015,北マリアナ諸島（米）,,KG,,,,,86,737
