year,country,_,_,_,_,_,_,amount,value
2020,香港,,KG,,,,,693,2315
2020,台湾,,KG,,,,,1268,7465
2020,マレーシア,,KG,,,,,186,1478
2020,ベルギー,,KG,,,,,330,2825
2020,アメリカ合衆国,,KG,,,,,2887,21566
2020,台湾,,KG,,,,,218023,1514318
2020,香港,,KG,,,,,208865,1391571
2020,ベトナム,,KG,,,,,6223,61437
2020,タイ,,KG,,,,,9847,72697
2020,シンガポール,,KG,,,,,122919,940172
2020,マレーシア,,KG,,,,,14325,113025
2020,フィリピン,,KG,,,,,2027,23581
2020,インドネシア,,KG,,,,,2493,23373
2020,マカオ,,KG,,,,,8524,78424
2020,カタール,,KG,,,,,73,1326
2020,オマーン,,KG,,,,,83,1714
2020,アラブ首長国連邦,,KG,,,,,855,20259
2020,デンマーク,,KG,,,,,1440,15294
2020,英国,,KG,,,,,25590,218620
2020,オランダ,,KG,,,,,46717,479193
2020,ベルギー,,KG,,,,,38844,342726
2020,フランス,,KG,,,,,4559,47626
2020,モナコ,,KG,,,,,102,1544
2020,ドイツ,,KG,,,,,11287,105699
2020,スイス,,KG,,,,,3750,40107
2020,スペイン,,KG,,,,,477,4973
2020,イタリア,,KG,,,,,5554,57402
2020,ポーランド,,KG,,,,,578,6080
2020,ロシア,,KG,,,,,4490,53605
2020,ギリシャ,,KG,,,,,295,2704
2020,カナダ,,KG,,,,,34504,303576
2020,アメリカ合衆国,,KG,,,,,477302,4053511
2020,メキシコ,,KG,,,,,6430,64768
2020,オーストラリア,,KG,,,,,16546,165414
2020,ニュージーランド,,KG,,,,,326,3049
2020,台湾,,KG,,,,,385445,1767611
2020,香港,,KG,,,,,258512,1158522
2020,ベトナム,,KG,,,,,4572,24737
2020,タイ,,KG,,,,,15020,66218
2020,シンガポール,,KG,,,,,57536,227265
2020,マレーシア,,KG,,,,,39085,209188
2020,フィリピン,,KG,,,,,1976,13905
2020,インドネシア,,KG,,,,,2233,14730
2020,マカオ,,KG,,,,,3785,25307
2020,カタール,,KG,,,,,53,524
2020,アラブ首長国連邦,,KG,,,,,687,7842
2020,デンマーク,,KG,,,,,137,690
2020,英国,,KG,,,,,1729,9868
2020,オランダ,,KG,,,,,3766,25439
2020,ベルギー,,KG,,,,,2260,12662
2020,フランス,,KG,,,,,279,2023
2020,ドイツ,,KG,,,,,1169,6319
2020,スイス,,KG,,,,,34,215
2020,スペイン,,KG,,,,,77,507
2020,イタリア,,KG,,,,,2550,17573
2020,ロシア,,KG,,,,,1660,11487
2020,カナダ,,KG,,,,,2645,15809
2020,アメリカ合衆国,,KG,,,,,52026,271832
2020,メキシコ,,KG,,,,,1224,6706
2020,オーストラリア,,KG,,,,,24236,154295
2020,台湾,,KG,,,,,176817,746011
