year,country,_,_,_,_,_,_,amount,value
2016,香港,,KG,,,,,97,675
2016,香港,,KG,,,,,325396,1915446
2016,ベトナム,,KG,,,,,1547,10988
2016,タイ,,KG,,,,,29493,179670
2016,シンガポール,,KG,,,,,109065,727679
2016,フィリピン,,KG,,,,,9067,76190
2016,マカオ,,KG,,,,,10232,87425
2016,アラブ首長国連邦,,KG,,,,,1469,11781
2016,デンマーク,,KG,,,,,1078,15360
2016,英国,,KG,,,,,37556,337469
2016,オランダ,,KG,,,,,28814,295322
2016,ベルギー,,KG,,,,,10848,100697
2016,フランス,,KG,,,,,3702,32896
2016,ドイツ,,KG,,,,,14725,143918
2016,スイス,,KG,,,,,970,9626
2016,イタリア,,KG,,,,,3083,28541
2016,ロシア,,KG,,,,,2390,19621
2016,カナダ,,KG,,,,,11720,121910
2016,アメリカ合衆国,,KG,,,,,189726,1660505
2016,メキシコ,,KG,,,,,980,9027
2016,ニュージーランド,,KG,,,,,2672,21708
2016,香港,,KG,,,,,45108,350722
2016,ベトナム,,KG,,,,,369,2430
2016,タイ,,KG,,,,,4296,36607
2016,シンガポール,,KG,,,,,20589,174637
2016,フィリピン,,KG,,,,,1538,13265
2016,マカオ,,KG,,,,,3626,34102
2016,アラブ首長国連邦,,KG,,,,,1027,11377
2016,デンマーク,,KG,,,,,300,5156
2016,英国,,KG,,,,,5395,49423
2016,オランダ,,KG,,,,,6445,80202
2016,ベルギー,,KG,,,,,4011,42988
2016,フランス,,KG,,,,,1010,8792
2016,ドイツ,,KG,,,,,2036,19301
2016,スイス,,KG,,,,,45,720
2016,イタリア,,KG,,,,,874,9441
2016,ロシア,,KG,,,,,236,2439
2016,カナダ,,KG,,,,,3736,38188
2016,アメリカ合衆国,,KG,,,,,58882,563007
2016,メキシコ,,KG,,,,,385,3653
2016,ニュージーランド,,KG,,,,,1003,7739
2016,香港,,KG,,,,,35404,159764
2016,ベトナム,,KG,,,,,436,1887
2016,タイ,,KG,,,,,2952,15078
2016,シンガポール,,KG,,,,,6386,31819
2016,フィリピン,,KG,,,,,475,2664
2016,ミャンマー,,KG,,,,,302,940
