year,country,_,_,_,_,_,_,amount,value
2023,台湾,,KG,,,,,46,269
2023,シンガポール,,KG,,,,,129,1072
2023,マレーシア,,KG,,,,,299,3235
2023,アメリカ合衆国,,KG,,,,,2326,20340
2023,台湾,,KG,,,,,419165,3004251
2023,香港,,KG,,,,,225832,1827090
2023,ベトナム,,KG,,,,,9279,109654
2023,タイ,,KG,,,,,13899,124748
2023,シンガポール,,KG,,,,,192878,1560256
2023,マレーシア,,KG,,,,,39177,312866
2023,フィリピン,,KG,,,,,7466,72653
2023,インドネシア,,KG,,,,,4543,32925
2023,カンボジア,,KG,,,,,246,3376
2023,マカオ,,KG,,,,,3090,38288
2023,サウジアラビア,,KG,,,,,671,8838
2023,アラブ首長国連邦,,KG,,,,,1104,18827
2023,デンマーク,,KG,,,,,1511,17853
2023,英国,,KG,,,,,90395,914109
2023,アイルランド,,KG,,,,,36,452
2023,オランダ,,KG,,,,,142701,1504898
2023,ベルギー,,KG,,,,,73823,768256
2023,フランス,,KG,,,,,35071,341048
2023,ドイツ,,KG,,,,,62488,635540
2023,スイス,,KG,,,,,4760,54427
2023,ポルトガル,,KG,,,,,725,6582
2023,スペイン,,KG,,,,,11348,122590
2023,イタリア,,KG,,,,,52978,504578
2023,マルタ,,KG,,,,,96,1020
2023,ポーランド,,KG,,,,,5015,51756
2023,ロシア,,KG,,,,,5046,55601
2023,ハンガリー,,KG,,,,,669,5230
2023,ギリシャ,,KG,,,,,8206,79782
2023,ルーマニア,,KG,,,,,47,491
2023,チェコ,,KG,,,,,180,2380
2023,カナダ,,KG,,,,,69324,683345
2023,アメリカ合衆国,,KG,,,,,714237,6466975
2023,メキシコ,,KG,,,,,12934,134281
2023,オーストラリア,,KG,,,,,41186,407862
2023,台湾,,KG,,,,,810118,4100300
2023,香港,,KG,,,,,188026,941283
2023,ベトナム,,KG,,,,,11992,74494
2023,タイ,,KG,,,,,29163,162477
2023,シンガポール,,KG,,,,,81864,381192
2023,マレーシア,,KG,,,,,98703,518925
2023,フィリピン,,KG,,,,,2259,13606
2023,インドネシア,,KG,,,,,10807,63818
2023,マカオ,,KG,,,,,1560,10072
2023,サウジアラビア,,KG,,,,,1375,13408
2023,アラブ首長国連邦,,KG,,,,,706,5308
2023,英国,,KG,,,,,5952,37414
2023,アイルランド,,KG,,,,,74,566
2023,オランダ,,KG,,,,,11275,79798
2023,ベルギー,,KG,,,,,28155,155606
2023,フランス,,KG,,,,,1175,5920
2023,ドイツ,,KG,,,,,8908,57183
2023,スイス,,KG,,,,,338,2562
2023,ポルトガル,,KG,,,,,414,1674
2023,スペイン,,KG,,,,,1457,8619
2023,イタリア,,KG,,,,,14124,89087
2023,ポーランド,,KG,,,,,82,532
2023,ロシア,,KG,,,,,2414,15764
2023,ハンガリー,,KG,,,,,1882,9797
2023,ギリシャ,,KG,,,,,472,2736
2023,チェコ,,KG,,,,,254,2496
2023,カナダ,,KG,,,,,14768,74478
2023,アメリカ合衆国,,KG,,,,,97959,493977
2023,メキシコ,,KG,,,,,4901,34670
2023,オーストラリア,,KG,,,,,32615,213704
2023,ニュージーランド,,KG,,,,,46,247
2023,台湾,,KG,,,,,334373,1645853
2023,香港,,KG,,,,,63957,291771
2023,ベトナム,,KG,,,,,1529,7220
2023,タイ,,KG,,,,,9167,33058
2023,シンガポール,,KG,,,,,58845,229826
2023,マレーシア,,KG,,,,,52019,248515
2023,フィリピン,,KG,,,,,3008,10056
2023,インドネシア,,KG,,,,,5053,25811
2023,マカオ,,KG,,,,,1191,4126
2023,サウジアラビア,,KG,,,,,668,6501
2023,アラブ首長国連邦,,KG,,,,,164,1292
2023,英国,,KG,,,,,3798,20050
2023,オランダ,,KG,,,,,3465,19432
2023,ベルギー,,KG,,,,,1889,17402
2023,フランス,,KG,,,,,221,762
2023,ドイツ,,KG,,,,,2020,12687
2023,ポルトガル,,KG,,,,,210,851
2023,スペイン,,KG,,,,,69,447
2023,イタリア,,KG,,,,,1656,7543
2023,ポーランド,,KG,,,,,31,220
2023,ロシア,,KG,,,,,122,829
2023,ハンガリー,,KG,,,,,320,1496
2023,ギリシャ,,KG,,,,,324,1732
2023,カナダ,,KG,,,,,4083,22196
2023,アメリカ合衆国,,KG,,,,,45585,203899
2023,メキシコ,,KG,,,,,439,2927
2023,オーストラリア,,KG,,,,,7122,46028
2023,台湾,,KG,,,,,34326,171374
2023,香港,,KG,,,,,6886,31085
2023,ベトナム,,KG,,,,,542,3068
2023,タイ,,KG,,,,,811,4276
2023,シンガポール,,KG,,,,,21529,55542
2023,マレーシア,,KG,,,,,9953,46728
2023,インドネシア,,KG,,,,,348,1806
2023,マカオ,,KG,,,,,140,928
2023,サウジアラビア,,KG,,,,,188,1827
2023,英国,,KG,,,,,376,1576
2023,フランス,,KG,,,,,139,334
2023,ドイツ,,KG,,,,,131,695
2023,イタリア,,KG,,,,,185,818
2023,アメリカ合衆国,,KG,,,,,8081,33359
2023,オーストラリア,,KG,,,,,150,1224
2023,ベトナム,,KG,,,,,382,1427
2023,マレーシア,,KG,,,,,1019,1631
2023,マカオ,,KG,,,,,154,972
2023,アラブ首長国連邦,,KG,,,,,1096,7218
2023,台湾,,KG,,,,,54823,450434
2023,モンゴル,,KG,,,,,436,3703
2023,香港,,KG,,,,,287125,2182068
2023,ベトナム,,KG,,,,,74110,669535
2023,タイ,,KG,,,,,211638,1645799
2023,シンガポール,,KG,,,,,71305,527653
2023,マレーシア,,KG,,,,,9858,82264
2023,フィリピン,,KG,,,,,26953,254230
2023,インドネシア,,KG,,,,,5138,38500
2023,カンボジア,,KG,,,,,964291,7798647
2023,ラオス,,KG,,,,,6992,53878
2023,ミャンマー,,KG,,,,,752,7100
2023,モルディブ,,KG,,,,,837,6164
2023,マカオ,,KG,,,,,77664,622894
2023,バーレーン,,KG,,,,,254,5382
2023,サウジアラビア,,KG,,,,,6598,160822
2023,カタール,,KG,,,,,3813,69213
2023,アラブ首長国連邦,,KG,,,,,50546,549553
2023,カザフスタン,,KG,,,,,248,3465
2023,タジキスタン,,KG,,,,,217527,1606908
2023,英国,,KG,,,,,3324,37142
2023,オランダ,,KG,,,,,8081,82435
2023,フランス,,KG,,,,,471,5775
2023,ドイツ,,KG,,,,,5362,58206
2023,ロシア,,KG,,,,,865,10392
2023,カナダ,,KG,,,,,1891,19583
2023,アメリカ合衆国,,KG,,,,,198150,1797006
2023,メキシコ,,KG,,,,,9589,107283
2023,ブラジル,,KG,,,,,2501,25755
2023,オーストラリア,,KG,,,,,2242,15633
2023,ニュージーランド,,KG,,,,,6266,53816
2023,グアム（米）,,KG,,,,,875,6689
2023,マーシャル,,KG,,,,,50,530
2023,台湾,,KG,,,,,58005,282875
2023,モンゴル,,KG,,,,,222,1252
2023,香港,,KG,,,,,502609,2292778
2023,ベトナム,,KG,,,,,17336,80392
2023,タイ,,KG,,,,,144032,688094
2023,シンガポール,,KG,,,,,88662,424551
2023,マレーシア,,KG,,,,,51246,227423
2023,フィリピン,,KG,,,,,7935,47408
2023,インドネシア,,KG,,,,,12137,64888
2023,カンボジア,,KG,,,,,122642,591805
2023,マカオ,,KG,,,,,15007,77658
2023,バーレーン,,KG,,,,,376,4928
2023,サウジアラビア,,KG,,,,,11137,116556
2023,カタール,,KG,,,,,84,689
2023,アラブ首長国連邦,,KG,,,,,45972,201596
2023,タジキスタン,,KG,,,,,9945,48155
2023,デンマーク,,KG,,,,,43,467
2023,英国,,KG,,,,,37,411
2023,オランダ,,KG,,,,,1429,10575
2023,フランス,,KG,,,,,1507,18378
2023,ドイツ,,KG,,,,,1908,10075
2023,ロシア,,KG,,,,,1048,10353
2023,カナダ,,KG,,,,,1457,8162
2023,アメリカ合衆国,,KG,,,,,91447,414067
2023,メキシコ,,KG,,,,,575,3488
2023,ブラジル,,KG,,,,,53,333
2023,オーストラリア,,KG,,,,,3670,14829
2023,ニュージーランド,,KG,,,,,1119,6643
2023,グアム（米）,,KG,,,,,1493,6270
2023,台湾,,KG,,,,,61711,238278
2023,モンゴル,,KG,,,,,71,357
2023,香港,,KG,,,,,218986,851908
