year,country,_,_,_,_,_,_,amount,value
2021,台湾,,KG,,,,,281,1641
2021,シンガポール,,KG,,,,,248,2048
2021,マレーシア,,KG,,,,,466,3214
2021,マカオ,,KG,,,,,64,278
2021,ベルギー,,KG,,,,,478,4710
2021,アメリカ合衆国,,KG,,,,,2695,21630
2021,台湾,,KG,,,,,228211,1731103
2021,香港,,KG,,,,,253007,1926499
2021,ベトナム,,KG,,,,,4680,46161
2021,タイ,,KG,,,,,8416,63545
2021,シンガポール,,KG,,,,,164088,1278948
2021,マレーシア,,KG,,,,,34406,280760
2021,フィリピン,,KG,,,,,3043,55877
2021,インドネシア,,KG,,,,,1576,17182
2021,カンボジア,,KG,,,,,302,2884
2021,マカオ,,KG,,,,,7461,70998
2021,カタール,,KG,,,,,121,2161
2021,オマーン,,KG,,,,,92,1970
2021,アラブ首長国連邦,,KG,,,,,1855,47153
2021,デンマーク,,KG,,,,,2359,25548
2021,英国,,KG,,,,,69237,659264
2021,オランダ,,KG,,,,,106133,1189752
2021,ベルギー,,KG,,,,,82060,841912
2021,フランス,,KG,,,,,26905,272293
2021,モナコ,,KG,,,,,3541,40479
2021,ドイツ,,KG,,,,,28894,298452
2021,スイス,,KG,,,,,4167,46233
2021,スペイン,,KG,,,,,7189,76036
2021,イタリア,,KG,,,,,17190,179870
2021,マルタ,,KG,,,,,279,2648
2021,ポーランド,,KG,,,,,2988,30461
2021,ロシア,,KG,,,,,7261,85966
2021,ギリシャ,,KG,,,,,3102,32560
2021,ルーマニア,,KG,,,,,49,560
2021,スロバキア,,KG,,,,,114,1546
2021,カナダ,,KG,,,,,58800,579175
2021,アメリカ合衆国,,KG,,,,,910823,8816682
2021,メキシコ,,KG,,,,,15388,142203
2021,オーストラリア,,KG,,,,,28138,303750
2021,ニュージーランド,,KG,,,,,102,1024
2021,台湾,,KG,,,,,390867,1992958
2021,香港,,KG,,,,,217884,1088432
2021,ベトナム,,KG,,,,,4407,25490
2021,タイ,,KG,,,,,13439,63593
